glyph_name,ps_name,USV,DesignerOrder,bcp47tags,OTLang,assoc_feat,assoc_feat_val,assoc_uids,Comment
uni12AD,uni12AD,  12AD,437,,,,,,
uni12AE,uni12AE,  12AE,438,,,,,,
uni12AF,uni12AF,  12AF,439,,,,,,
uni12B0,uni12B0,  12B0,440,,,,,,
uni12B2,uni12B2,  12B2,441,,,cv80,0,,
uni12B2.seb3,uni12B2.seb3,,442,sgw,CHG,cv80,1,  12B2,
uni12B3,uni12B3,  12B3,443,,,,,,
uni12B4,uni12B4,  12B4,444,,,,,,
uni12B5,uni12B5,  12B5,445,,,cv85,0,,
uni12B5.seb2,uni12B5.seb2,,446,sgw,CHG,cv85,1,  12B5,
uni12B8,uni12B8,  12B8,447,,,,,,
uni12B9,uni12B9,  12B9,448,,,,,,
uni12BA,uni12BA,  12BA,449,,,,,,
uni12BB,uni12BB,  12BB,450,,,,,,
uni12BC,uni12BC,  12BC,451,,,,,,
uni12BD,uni12BD,  12BD,452,,,,,,
uni12BE,uni12BE,  12BE,453,,,,,,
uni12C0,uni12C0,  12C0,454,,,,,,
uni12C2,uni12C2,  12C2,455,,,cv80,0,,
uni12C2.seb3,uni12C2.seb3,,456,sgw,CHG,cv80,1,  12C2,
uni12C3,uni12C3,  12C3,457,,,cv26,0,,
uni12C3.cohen7,uni12C3.cohen7,,458,,,cv26,1,  12C3,
uni12C4,uni12C4,  12C4,460,,,,,,
uni12C5,uni12C5,  12C5,461,,,cv85,0,,
uni12C5.seb2,uni12C5.seb2,,462,sgw,CHG,cv85,1,  12C5,
uni12C8,uni12C8,  12C8,463,,,,,,
uni12C9,uni12C9,  12C9,464,,,,,,
uni12CA,uni12CA,  12CA,465,,,,,,
uni12CB,uni12CB,  12CB,466,,,,,,
uni12CC,uni12CC,  12CC,467,,,,,,
uni12CD,uni12CD,  12CD,468,,,,,,
uni12CE,uni12CE,  12CE,469,,,,,,
uni12CF,uni12CF,  12CF,470,,,,,,
uni12D0,uni12D0,  12D0,471,,,,,,
uni12D1,uni12D1,  12D1,472,,,,,,
uni12D2,uni12D2,  12D2,473,,,,,,
uni12D3,uni12D3,  12D3,474,,,,,,
uni12D4,uni12D4,  12D4,475,,,,,,
uni12D5,uni12D5,  12D5,476,,,,,,
uni12D6,uni12D6,  12D6,477,,,,,,
uni12D8,uni12D8,  12D8,478,,,,,,
uni12D9,uni12D9,  12D9,479,,,,,,
uni12DA,uni12DA,  12DA,480,,,,,,
uni12DB,uni12DB,  12DB,481,,,,,,
uni12DC,uni12DC,  12DC,482,,,,,,
uni12DD,uni12DD,  12DD,483,,,,,,
uni12DE,uni12DE,  12DE,484,,,,,,
uni12DF,uni12DF,  12DF,485,,,,,,
uni12E0,uni12E0,12E0,486,,,cv31,0,,
uni12E0.cohen6,uni12E0.cohen6,,487,,,cv31,1,12E0,
uni12E0.chaine,uni12E0.chaine,,488,,,cv31,2,12E0,
uni12E1,uni12E1,12E1,489,,,cv31,0,,
uni12E1.cohen6,uni12E1.cohen6,,490,,,cv31,1,12E1,
uni12E1.chaine,uni12E1.chaine,,491,,,cv31,2,12E1,
uni12E2,uni12E2,1200,492,,,,,,
uni12E3,uni12E3,12E3,493,,,cv31,0,,
uni12E3.cohen6,uni12E3.cohen6,,494,,,cv31,1,12E3,
uni12E3.chaine,uni12E3.chaine,,495,,,cv31,2,12E3,
uni12E4,uni12E4,12E4,496,,,cv31,0,,
uni12E4.cohen6,uni12E4.cohen6,,497,,,cv31,1,12E4,
uni12E4.chaine,uni12E4.chaine,,498,,,cv31,2,12E4,
uni12E5,uni12E5,12E5,499,,,cv31,0,,
uni12E5.cohen6,uni12E5.cohen6,,500,,,cv31,1,12E5,
uni12E5.chaine,uni12E5.chaine,,501,,,cv31,2,12E5,
uni12E6,uni12E6,12E6,503,,,cv31,0,,
uni12E6.cohen6,uni12E6.cohen6,,504,,,cv31,1,12E6,
uni12E6.chaine,uni12E6.chaine,,505,,,cv31,2,12E6,
uni12E7,uni12E7,12E7,506,,,,,,
uni12E8,uni12E8,12E8,507,,,,,,
uni12E9,uni12E9,12E9,508,,,,,,
uni12EA,uni12EA,  12EA,509,,,,,,
uni12EB,uni12EB,  12EB,510,,,,,,
uni12EC,uni12EC,  12EC,511,,,,,,
uni12ED,uni12ED,  12ED,512,,,,,,
uni12EE,uni12EE,  12EE,513,,,,,,
uni12EF,uni12EF,  12EF,514,,,,,,
uni12F0,uni12F0,  12F0,515,,,,,,
uni12F1,uni12F1,  12F1,516,,,,,,
uni12F2,uni12F2,  12F2,517,,,,,,
uni12F3,uni12F3,  12F3,518,,,,,,
uni12F4,uni12F4,  12F4,519,,,,,,
uni12F5,uni12F5,  12F5,520,,,,,,
uni12F6,uni12F6,  12F6,521,,,,,,
uni12F7,uni12F7,  12F7,522,,,,,,
uni12F8,uni12F8,  12F8,523,,,cv32,0,,
uni12F8.oromo,uni12F8.oromo,,524,,,cv32,1,  12F8,
uni12F9,uni12F9,  12F9,525,,,cv32,0,,
uni12F9.oromo,uni12F9.oromo,,526,,,cv32,1,  12F9,
uni12FA,uni12FA,  12FA,527,,,cv32,0,,
uni12FA.oromo,uni12FA.oromo,,528,,,cv32,1,  12FA,
uni12FB,uni12FB,  12FB,529,,,cv32,0,,
uni12FB.oromo,uni12FB.oromo,,530,,,cv32,1,  12FB,
uni12FC,uni12FC,  12FC,531,,,cv32,0,,
uni12FC.oromo,uni12FC.oromo,,532,,,cv32,1,  12FC,
uni12FD,uni12FD,  12FD,533,,,cv32,0,,
uni12FD.oromo,uni12FD.oromo,,534,,,cv32,1,  12FD,
uni12FE,uni12FE,  12FE,535,,,cv32,0,,
uni12FE.oromo,uni12FE.oromo,,536,,,cv32,1,  12FE,
uni12FF,uni12FF,  12FF,537,,,,,,
uni1300,uni1300,1300,538,,,,,,
uni1301,uni1301,1301,539,,,,,,
uni1302,uni1302,1302,540,,,,,,
uni1303,uni1303,1303,541,,,,,,
uni1304,uni1304,1304,542,,,,,,
uni1305,uni1305,1305,543,,,,,,
uni1306,uni1306,1306,544,,,,,,
uni1307,uni1307,1307,545,,,,,,
uni1308,uni1308,1308,546,,,,,,
uni1309,uni1309,1309,547,,,,,,
uni130A,uni130A,  130A,548,,,,,,
uni130B,uni130B,  130B,549,,,,,,
uni130C,uni130C,  130C,550,,,,,,
uni130D,uni130D,  130D,551,,,,,,
uni130E,uni130E,  130E,552,,,,,,
uni130F,uni130F,  130F,553,,,,,,
uni1310,uni1310,1310,554,,,,,,
uni1312,uni1312,1312,555,,,cv80,0,,
uni1312.seb3,uni1312.seb3,,556,sgw,CHG,cv80,1,1312,
uni1313,uni1313,1313,557,,,cv40,0,,
uni1313.seb0,uni1313.seb0,,558,sgw,CHG,cv40,1,,
uni1313.alonestokes,uni1313.alonestokes,,559,,,cv40,2,,
uni1314,uni1314,1314,561,,,,,,
uni1315,uni1315,1315,562,,,cv85,0,,
uni1315.seb2,uni1315.seb2,,563,sgw,CHG,cv85,1,1315,
uni1318,uni1318,1318,564,,,cv41,0,,
uni1318.alt1,uni1318.alt1,,565,,,cv41,1,1318,
